CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,ON02_01,ON02_02,ON02_03,ON04,ON19_01,ON19_02,ON21,ON22,ON22_02,ON23,ON23_02,ON25,ON26,ON26_02,ON27_01,ON27_02,ON28_01,ON28_02,ON15_01,ON15_02,ON15_03,ON15_04,ON15_05,ON15,ON16,ON31,ON17,ON17s,ON08_03,ON08_04,ON08_05,ON08_05a,ON08_06,ON08_06a,ON09,ON29,ON30,ON10,ON18,ON13,ON13_08,ON14,ON14_08,ON12,K201_01,K201_02,K201_03,K202_01,K202_02,K203,K206,K207,K207_02,K208,K208_02,K209,K210,K210_02,K211_01,K211_02,K212_01,K212_02,K204_01,K204_02,K204_03,K204_04,K204_05,K204,K205,K213,CQ13,CQ02_01,CQ02_02,CQ01_01,CQ01_02,CQ01_03,CQ01_04,CQ01_05,CQ01_06,CQ01_07,CQ01_08,CQ01_09,CQ03_01,CQ04_01,CQ05_01,CQ10_01,CQ10_02,CQ11,W210_01,W210_02,W202_01,W202_02,W201_01,W201_02,W201_03,W201_04,W201_05,W201_06,W201_07,W201_08,W201_09,W203_01,W204_01,W205_01,W213,GR03_01,GR03_02,ON35_01,W310_01,W310_02,W302_01,W302_02,W301_01,W301_02,W301_03,W301_04,W301_05,W301_06,W301_07,W301_08,W301_09,W303_01,W304_01,W305_01,W313,
2427,Q3L72GQYAX,,Vx5-2,interview,16.02.24 09:30,1,0,3,3,0,0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,Q3L72GQYAX,,,,,,,,,,,,,,,,,,,
2436,14XUXCQFM3,,Vx5-2,interview,16.02.24 09:54,1,0,3,3,0,0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,14XUXCQFM3,,,,,,,,,,,,,,,,,,,
2439,9NSZ5QR3U2,,Vx5-2,interview,16.02.24 10:06,1,0,3,3,0,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,1,1,1,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,9NSZ5QR3U2,,,,,,,,,,,,,,,,,,,
2447,MYAB13S59X,,Vx5-2,interview,16.02.24 10:20,1,0,3,3,0,0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,MYAB13S59X,,,,,,,,,,,,,,,,,,,
2458,382WRSY75D,,Vx4-2,interview,16.02.24 10:42,1,0,3,3,0,0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,382WRSY75D,,,,,,,,,,,,,,,,,,,
2460,382WRSY75D,,Vx5-2,interview,16.02.24 10:42,1,0,3,3,0,0,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,382WRSY75D,,,,,,,,,,,,,,,,,,,
2461,8APF266BD4,,Vx5-2,interview,16.02.24 11:00,1,0,3,3,0,0,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,8APF266BD4,,,,,,,,,,,,,,,,,,,
2464,Z7KMGC2Y84,,Vx3-2,interview,16.02.24 11:03,1,0,4,4,0,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,26.01.19,1,2,26.01.19,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB2,Z7KMGC2Y84,,,,,,,,,,,,,,,,,,,
2466,Z7KMGC2Y84,,Vx4-2,interview,16.02.24 11:05,1,0,5,5,0,0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,02.01.19,1,2,26.01.19,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,MTB2,Z7KMGC2Y84,,2019-01-26,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2467,VV1HG2Z6EF,,Vx5-2,interview,16.02.24 11:07,1,0,3,3,0,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,VV1HG2Z6EF,,,,,,,,,,,,,,,,,,,
2468,Z7KMGC2Y84,,Vx5-2,interview,16.02.24 11:07,1,0,4,4,0,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,26.01.19,1,2,26.01.19,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB2,Z7KMGC2Y84,,,,,,,,,,,,,,,,,,,
2475,5RX1AZ3TSH,,Vx5-2,interview,16.02.24 11:34,1,0,3,3,0,0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,3,3,3,3,3,2,1,3,1,4,4,1,2,,,,,,,,,,,,,,,,,,,,,MTB2,5RX1AZ3TSH,,,,,,,,,,,,,,,,,,,
2481,1SXEBNF5YZ,,Vx5-2,interview,16.02.24 12:12,1,0,3,3,0,0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,1SXEBNF5YZ,,,,,,,,,,,,,,,,,,,
2482,ZQYHV2LRLD,,Vx5-2,interview,16.02.24 12:48,1,0,3,3,0,0,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,ZQYHV2LRLD,,,,,,,,,,,,,,,,,,,
2514,ZYWYQ4AYZ9,,Vx5-2,interview,17.02.24 09:48,1,0,3,3,0,0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,ZYWYQ4AYZ9,,,,,,,,,,,,,,,,,,,
2530,6M9755QR7E,,Vx5-2,interview,17.02.24 19:09,1,0,4,4,0,0,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,2,1,1,1,1,2,1,1,2,1,1,1,1,02.07.19,1,2,05.11.21,2,2,-1,1,1,1,3,3,1,1,3,1,1,1,1,1,MTB2,6M9755QR7E,,,,,,,,,,,,,,,,,,,
2561,Q3L72GQYAX,,Vx6-2,interview,23.02.24 09:05,1,0,3,3,0,0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,Q3L72GQYAX,,,,,,,,,,,,,,,,,,,
2564,14XUXCQFM3,,Vx6-2,interview,23.02.24 09:08,1,0,3,3,0,0,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,14XUXCQFM3,,,,,,,,,,,,,,,,,,,
2569,9NSZ5QR3U2,,Vx6-2,interview,23.02.24 09:13,1,0,3,3,0,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,9NSZ5QR3U2,,,,,,,,,,,,,,,,,,,
2584,1SXEBNF5YZ,,Vx6-2,interview,23.02.24 09:33,1,0,3,3,0,0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,1SXEBNF5YZ,,,,,,,,,,,,,,,,,,,
2592,ZYWYQ4AYZ9,,Vx6-2,interview,23.02.24 10:00,1,0,3,3,0,0,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,ZYWYQ4AYZ9,,,,,,,,,,,,,,,,,,,
2604,H48QW48XRU,,Vx5-2,interview,23.02.24 10:24,1,0,4,4,0,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,10.06.18,1,2,18.05.21,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB2,H48QW48XRU,,,,,,,,,,,,,,,,,,,
2606,H5Y7AMVML6,,Vx6-2,interview,23.02.24 10:32,1,0,3,3,0,0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,H5Y7AMVML6,,,,,,,,,,,,,,,,,,,
2608,P1GMR2C1D4,,Vx3-2,interview,23.02.24 10:34,1,0,3,3,0,0,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,P1GMR2C1D4,,,,,,,,,,,,,,,,,,,
2609,P1GMR2C1D4,,Vx4-2,interview,23.02.24 10:35,1,0,3,3,0,0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,P1GMR2C1D4,,,,,,,,,,,,,,,,,,,
2610,P1GMR2C1D4,,Vx5-2,interview,23.02.24 10:35,1,0,3,3,0,0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,P1GMR2C1D4,,,,,,,,,,,,,,,,,,,
2611,P1GMR2C1D4,,Vx6-2,interview,23.02.24 10:36,1,0,3,3,0,0,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,P1GMR2C1D4,,,,,,,,,,,,,,,,,,,
2616,H48QW48XRU,,Vx6-2,interview,23.02.24 10:46,1,0,4,4,0,0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,10.06.18,1,2,18.05.21,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB2,H48QW48XRU,,,,,,,,,,,,,,,,,,,
2620,VV1HG2Z6EF,,Vx6-2,interview,23.02.24 11:03,1,0,3,3,0,0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,VV1HG2Z6EF,,,,,,,,,,,,,,,,,,,
2622,5RX1AZ3TSH,,Vx6-2,interview,23.02.24 11:07,1,0,3,3,0,0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,3,2,2,1,2,1,2,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,5RX1AZ3TSH,,,,,,,,,,,,,,,,,,,
2637,6M9755QR7E,,Vx6-2,interview,23.02.24 12:58,1,0,4,4,0,0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,02.07.19,1,2,05.11.21,2,-1,-1,1,1,1,2,2,1,1,1,1,1,1,1,1,MTB2,6M9755QR7E,,,,,,,,,,,,,,,,,,,
2655,MYAB13S59X,,Vx6-2,interview,23.02.24 15:35,1,0,3,3,0,0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,MYAB13S59X,,,,,,,,,,,,,,,,,,,
2696,ZQYHV2LRLD,,Vx6-2,interview,24.02.24 16:10,1,0,3,3,0,0,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,ZQYHV2LRLD,,,,,,,,,,,,,,,,,,,
2703,8APF266BD4,,Vx6-2,interview,25.02.24 10:56,1,0,3,3,0,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,8APF266BD4,,,,,,,,,,,,,,,,,,,
2707,BA4M5SZNQ9,,V0-2,interview,26.02.24 12:06,0,0,0,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB2,BA4M5SZNQ9,,,,,,,,,,,,,,,,,,,
2708,M2FQRRL3L4,,V0-2,interview,26.02.24 12:07,0,0,0,1,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB2,M2FQRRL3L4,,,,,,,,,,,,,,,,,,,
2725,382WRSY75D,,Vx6-2,interview,29.02.24 12:02,1,0,3,3,0,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB2,382WRSY75D,,,,,,,,,,,,,,,,,,,
2737,Z7KMGC2Y84,,Vx6-2,interview,11.03.24 13:43,1,0,4,4,0,0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,26.01.19,1,2,26.01.19,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB2,Z7KMGC2Y84,,,,,,,,,,,,,,,,,,,
1435,CBA1WY5PNY,,Z,interview,03.03.23 10:57,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,CBA1WY5PNY,,,,,,,,,,,,,,,,,,,
1436,7SDV2CZWBZ,,Z,interview,03.03.23 10:57,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,7SDV2CZWBZ,,,,,,,,,,,,,,,,,,,
1437,FG3F9S6TKQ,,Z,interview,03.03.23 10:58,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,FG3F9S6TKQ,,,,,,,,,,,,,,,,,,,
1438,DZUSGW9YPP,,Z,interview,03.03.23 10:59,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,DZUSGW9YPP,,,,,,,,,,,,,,,,,,,
1439,GQUHR9GQBQ,,Z,interview,03.03.23 11:00,1,0,1,1,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,GQUHR9GQBQ,,,,,,,,,,,,,,,,,,,
1440,2S2Z6KK7PT,,Z,interview,03.03.23 11:00,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,2S2Z6KK7PT,,,,,,,,,,,,,,,,,,,
1441,65ZLBE69YZ,,Z,interview,03.03.23 11:01,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,65ZLBE69YZ,,,,,,,,,,,,,,,,,,,
1442,19WXDT4EQ4,,Z,interview,03.03.23 11:02,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,19WXDT4EQ4,,,,,,,,,,,,,,,,,,,
1443,4M4TCF6SG7,,Z,interview,03.03.23 11:02,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,4M4TCF6SG7,,,,,,,,,,,,,,,,,,,
1444,WDULNEAFUX,,Z,interview,03.03.23 11:03,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,WDULNEAFUX,,,,,,,,,,,,,,,,,,,
1445,6R6UB4YFLG,,Z,interview,03.03.23 11:03,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,6R6UB4YFLG,,,,,,,,,,,,,,,,,,,
1446,W9EXE8K71V,,Z,interview,03.03.23 11:04,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,W9EXE8K71V,,,,,,,,,,,,,,,,,,,
1447,V1RYE6TCHH,,Z,interview,03.03.23 11:05,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,V1RYE6TCHH,,,,,,,,,,,,,,,,,,,
1448,6K5BMHKM3V,,Z,interview,03.03.23 11:05,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,6K5BMHKM3V,,,,,,,,,,,,,,,,,,,
1449,1HXNU27LF6,,Z,interview,03.03.23 11:06,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,1HXNU27LF6,,,,,,,,,,,,,,,,,,,
1450,2MW6M4ZF71,,Z,interview,03.03.23 11:06,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,2MW6M4ZF71,,,,,,,,,,,,,,,,,,,
1626,VFTDSDEAX1,,V0-2,interview,18.12.23 09:01,1,0,9,9,2,2,0.18,25.09.17,3,2,1,22,117,1,1,,1,,3,2,Fußball,21:30,07:30,00:00,11:00,2,1,1,2,2,3,5,2,-2,10551,2,3,7,1,2,1,1,1,2,5,5,8,Hausfrau,4,,9,07.11.21,2,3,12,82,2,1,1,,1,,2,1,,21:30,07:30,00:00,10:00,2,2,2,2,2,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,VFTDSDEAX1,"Bulgarisch, Türkisch, Deutsch",,,,,,,,,,,,,,,,,,
1629,TCNYU8SR23,,V0-2,interview,18.12.23 09:01,1,0,9,9,3,3,0.84,25.01.21,2,3,2,14,95,1,1,,1,,4,1,,21:00,09:00,22:00,09:00,2,2,1,1,2,3,4,1,-2,10559,2,3,13,1,2,1,1,1,2,4,3,1,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,TCNYU8SR23,"Russisch, ukrainisch",,,,,,,,,,,,,,,,,,
1635,W9EXE8K71V,,V0-2,interview,18.12.23 09:30,1,0,9,9,0,0,1.83,19.09.19,3,1,2,12,96,1,1,,1,,3,1,,19:30,07:00,19:30,07:30,2,2,1,2,1,3,4,1,23,,2,2,4,1,0,1,1,1,2,4,2,8,Elternzeit,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,W9EXE8K71V,Deutsch,,,,,,,,,,,,,,,,,,
1640,4M4TCF6SG7,,V0-2,interview,18.12.23 09:48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,4M4TCF6SG7,,,,,,,,,,,,,,,,,,,
1652,US4QTZAVC5,,V0-2,interview,18.12.23 10:53,1,0,9,9,0,0,0.76,21.08.18,5,1,2,20,110,2,1,,1,,4,1,,21:00,08:00,22:00,10:00,2,1,1,1,1,1,1,1,23,,2,1,,2,,2,2,1,2,4,4,6,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,US4QTZAVC5,Español,,,,,,,,,,,,,,,,,,
1657,2S2Z6KK7PT,,V0-2,interview,18.12.23 13:47,1,0,9,9,3,3,1.52,09.04.18,3,5,2,23,125,1,1,,1,,1,2,,21:00,06:00,22:00,08:00,2,1,1,1,1,1,2,1,17,,1,1,,2,,2,3,1,1,5,5,4,,-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,2S2Z6KK7PT,Albanisch,,,,,,,,,,,,,,,,,,
1678,3XGERQZNP7,,V0-2,interview,19.12.23 14:29,1,0,9,9,0,0,0.56,17.09.18,5,1,2,23,120,1,1,,1,,3,1,,22:00,08:00,23:00,10:00,2,1,1,1,1,1,1,1,27,,2,2,5,1,3,1,1,2,1,4,2,7,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,3XGERQZNP7,Arabisch,,,,,,,,,,,,,,,,,,
1688,2MW6M4ZF71,,V0-2,interview,21.12.23 22:54,1,0,9,9,0,0,1.08,04.01.18,2,1,2,27,128,1,1,,1,,2,2,Turnen 1x die Woche,21:00,07:30,22:00,08:00,2,1,1,1,1,1,2,2,27,,2,2,5,1,2,1,2,1,2,4,4,4,,5,,11,07.04.21,2,2,13,98,2,1,1,,1,,2,2,Turnen 1x die Woche,21:00,08:00,22:00,09:00,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,2MW6M4ZF71,Deutsch,,,,,,,,,,,,,,,,,,
